feature_name,feature_class,ICC,stability
Entropy,firstorder,0.913,excellent
IQR,firstorder,0.519,moderate
Kurtosis,firstorder,0.651,moderate
MAD,firstorder,0.492,poor
Max,firstorder,0.987,excellent
Mean,firstorder,0.852,good
Median,firstorder,0.888,good
Min,firstorder,0.275,poor
Range,firstorder,0.646,moderate
RMAD,firstorder,0.474,poor
Skewness,firstorder,0.743,moderate
Std,firstorder,0.504,moderate
Uniformity,firstorder,0.874,good
Acorr,glcm,0.761,good
JointAvg,glcm,0.765,good
ClProm,glcm,0.455,poor
ClShade,glcm,0.585,moderate
ClTen,glcm,0.419,poor
Contrast,glcm,0.696,moderate
Correlation,glcm,0.736,moderate
DiffAvg,glcm,0.756,good
DiffEnt,glcm,0.897,good
DiffVar,glcm,0.662,moderate
JointEnergy,glcm,0.859,good
JointEntropy,glcm,0.956,excellent
IMC1,glcm,0.94,excellent
IMC2,glcm,0.741,moderate
MCC,glcm,0.68,moderate
IDMN,glcm,0.827,good
ID,glcm,0.916,excellent
IDN,glcm,0.862,good
InvVar,glcm,0.94,excellent
IDM,glcm,0.92,excellent
MaxProb,glcm,0.923,excellent
SumAvg,glcm,0.765,good
SumEnt,glcm,0.919,excellent
SumSquares,glcm,0.473,poor
SDE,gldm,0.863,good
LDE,gldm,0.965,excellent
GLN,gldm,0.88,good
DN,gldm,0.968,excellent
DNN,gldm,0.803,good
GLV,gldm,0.466,poor
DV,gldm,0.965,excellent
DE,gldm,0.935,excellent
LGLE,gldm,0.716,moderate
HGLE,gldm,0.745,moderate
SDLGLE,gldm,0.563,moderate
SDHGLE,gldm,0.756,good
LDLGLE,gldm,0.913,excellent
LDHGLE,gldm,0.934,excellent
SRE,glrlm,0.906,excellent
LRE,glrlm,0.953,excellent
GLN,glrlm,0.749,moderate
GLNN,glrlm,0.819,good
RLN,glrlm,0.97,excellent
RLNN,glrlm,0.929,excellent
RP,glrlm,0.937,excellent
GLV,glrlm,0.48,poor
RV,glrlm,0.959,excellent
RE,glrlm,0.895,good
LGLRE,glrlm,0.712,moderate
HGLRE,glrlm,0.736,moderate
SRLGLE,glrlm,0.533,moderate
SRHGLE,glrlm,0.761,good
LRLGLE,glrlm,0.966,excellent
LRHGLE,glrlm,0.891,good
SAE,glszm,0.612,moderate
LAE,glszm,0.919,excellent
GLN,glszm,0.994,excellent
GLNN,glszm,0.586,moderate
SZN,glszm,0.959,excellent
SZNN,glszm,0.779,good
ZP,glszm,0.864,good
GLV,glszm,0.488,poor
ZV,glszm,0.932,excellent
ZE,glszm,0.899,good
LGLZE,glszm,0.592,moderate
HGLZE,glszm,0.765,good
SALGLE,glszm,0.402,poor
SAHGLE,glszm,0.745,moderate
LALGLE,glszm,0.917,excellent
LAHGLE,glszm,0.95,excellent
Coarseness,ngtdm,0.0,poor
Contrast,ngtdm,0.541,moderate
Busyness,ngtdm,0.918,excellent
Complexity,ngtdm,0.665,moderate
Strength,ngtdm,0.756,good
